case_id,source,case_number,title,tax_category,decision_date,decision_type,agency,summary,difficulty_score,source_url
law_expc_25-0180,law_expc,25-0180,민원인 - 구 「소득세법」(2020년 12월 29일 법률 제17757호로 일부개정되기 전의 것을 말함) 제94조제1항제3호가목1)에서 규정하고 있는 “대통령령으로 정하는 주권상장법인의 대주주”의 판단 기준(구 「소득세법」 제94조제1항제3호가목 등 관련),소득세,2025-07-25,회신,법제처,"이 사안의 경우, 그 주주가 구 「소득세법」 제94조제1항제3호가목1)에서 규정하고 있는 “주권상장법인대주주”에 해당하는지 여부를 판단할 때, 구 「소득세법 시행령」 제157조제5항제1호에 따라 판단하여야 합니다.",3.7,https://www.law.go.kr/expcInfoR.do?expcSeq=341769
law_expc_24-0206,law_expc,24-0206,민원인 - 「소득세법 시행령」 제154조제1항제5호에 따라 거주기간의 제한을 받지 아니하고 양도소득이 비과세되는 1세대 1주택의 범위 등(「소득세법 시행령」 제154조제1항제5호 등 관련),소득세,2024-08-06,회신,법제처,"가. 질의 가에 대해

  거주자가 조정대상지역의 공고가 있은 날 이전에 ‘조합원 가입계약을 체결한 사실’이 증빙서류에 의하여 확인되는 경우로서 해당 거주자가 속한 1세대가 조합원 가입계약 체결일 현재 주택을 보유하지 아니하는 경우, 「소득세법 시행령」 제154조제1항제5호가 적용되지 아니하여 거주기간의 제한을 받습니다.

  나. 질의 나에 대해

  거주자가 가입한 지역주택조합이 조정대상지역의 공고가 있은 날 이전에 ‘사업계획승인을 받은 사실’이 증빙서류에 의하여 확인되는 경우로서 해당 거주자가 속한 1세대가 사업계획승인일 현재 주택을 보유하지 아니하는 경우, 「소득세법 시행령」 제154조제1항제5호가 적용되지 아니하여 거주기간의 제한을 받습니다.",3.7,https://www.law.go.kr/expcInfoR.do?expcSeq=339625
law_expc_24-0588,law_expc,24-0588,민원인 - 「소득세법 시행령」 제154조제1항제5호에 따라 거주기간의 제한을 받지 아니하고 양도소득이 비과세되는 1세대 1주택의 범위 등(「소득세법 시행령」 제154조제1항제5호 등 관련),소득세,2024-08-06,회신,법제처,"가. 질의 가에 대해

  거주자가 조정대상지역의 공고가 있은 날 이전에 ‘조합원 가입계약을 체결한 사실’이 증빙서류에 의하여 확인되는 경우로서 해당 거주자가 속한 1세대가 조합원 가입계약 체결일 현재 주택을 보유하지 아니하는 경우, 「소득세법 시행령」 제154조제1항제5호가 적용되지 아니하여 거주기간의 제한을 받습니다.

  나. 질의 나에 대해

  거주자가 가입한 지역주택조합이 조정대상지역의 공고가 있은 날 이전에 ‘사업계획승인을 받은 사실’이 증빙서류에 의하여 확인되는 경우로서 해당 거주자가 속한 1세대가 사업계획승인일 현재 주택을 보유하지 아니하는 경우, 「소득세법 시행령」 제154조제1항제5호가 적용되지 아니하여 거주기간의 제한을 받습니다.",3.7,https://www.law.go.kr/expcInfoR.do?expcSeq=339641
law_expc_23-0932,law_expc,23-0932,민원인 - 「소득세법 시행령」 제155조제16항의 ‘수도권에 소재한 공공기관이 수도권 밖의 지역으로 이전’하는 경우가 같은 조 제8항의 ‘근무상의 형편’에 포함되는지 여부(「소득세법 시행령」 제155조제8항 및 제16항 등 관련),소득세,2024-03-12,회신,법제처,"이 사안의 경우, 「소득세법 시행령」 제155조제8항의 ‘근무상의 형편’에 포함된다고 보아 같은 항을 적용할 수는 없습니다.",3.7,https://www.law.go.kr/expcInfoR.do?expcSeq=338247
law_expc_22-0371,law_expc,22-0371,민원인 - 양도소득세 산정 시 건설자금이자가 양도가액에서 공제할 필요경비인 취득가액에 포함되는지 여부(「소득세법」 제97조제1항제1호 등 관련),소득세,2022-11-25,회신,법제처,"이 사안의 경우, 그 자산의 건설자금이자는 「소득세법」 제97조제1항제1호에 따라 양도가액에서 공제할 취득가액에 포함되지 않습니다.",3.533,https://www.law.go.kr/expcInfoR.do?expcSeq=334901
law_expc_22-0398,law_expc,22-0398,민원인 - 「법인세법」 제44조제3항에 해당하는 합병을 하여 취득세를 경감받은 합병법인에 합병등기일부터 3년 이내에 같은 법 제44조의3제3항 각 호의 어느 하나에 해당하는 사유가 발생한 경우 「지방세특례제한법」 제57조의2제1항 각 호 외의 부분 단서에 따라 경감된 취득세를 추징해야 하는지 여부(「지방세특례제한법」 제57조의2 등 관련),법인세,2022-11-07,회신,법제처,적격간주합병을 하여 취득세를 경감받은 합병법인에 합병등기일부터 3년 이내에 「법인세법」 제44조의3제3항 각 호의 어느 하나에 해당하는 사유가 발생한 경우 「지방세특례제한법」 제57조의2제1항 각 호 외의 부분 단서에 따라 경감된 취득세를 추징해야 합니다.,3.38,https://www.law.go.kr/expcInfoR.do?expcSeq=334745
law_expc_24-0629,law_expc,24-0629,"민원인 - 토지 양도에 관한 법인세를 잔금 청산 전에 미리 납부한 경우, 개발부담금 부과 시 해당 법인세를 개발비용에 계상할 수 있는지(「개발이익 환수에 관한 법률」 제12조 등)",법인세,2024-11-26,회신,법제처,"이 사안의 경우, 공동주택 건설사업과 관련하여 분양된 토지의 양도소득에 대해 이미 납부한 법인세액 중 잔금청산이 이루어지지 않은 부분에 상당하는 세액은 개발이익환수법 제12조제1항을 근거로 개발비용에 계상할 수 없습니다.",3.379,https://www.law.go.kr/expcInfoR.do?expcSeq=340325
law_expc_16-0422,law_expc,16-0422,기획재정부 - 공익법인이 출연재산의 매각대금으로 운용기간 6개월 이상인 수익용 재산을 취득한 경우 “직접 공익목적사업에 사용한 실적”에 포함되는지 여부(「상속세 및 증여세법 시행령」 제38조제4항 등 관련),법인세,2017-01-26,회신,법제처,공익법인등이 출연받은 재산의 매각대금으로 운용기간이 6개월 이상인 “수익용” 재산을 취득한 경우도 「상속세 및 증여세법 시행령」 제38조제4항에 따른 “직접 공익목적사업에 사용한 실적”에 해당합니다.,3.358,https://www.law.go.kr/expcInfoR.do?expcSeq=327689
law_expc_22-0612,law_expc,22-0612,민원인 - 「사립학교교직원 연금법」을 적용받는 사립학교 사무직원이 사립학교 내부 규정에 따라 받는 육아휴직수당에 대한 소득세 과세 여부(「소득세법」 제12조제3호마목 등 관련),소득세,2022-12-19,회신,법제처,"이 사안의 경우, 사학연금법을 적용받는 사립학교 사무직원이 학교법인 내부 규정에 따라 받는 육아휴직수당은 「소득세법」 제12조제3호마목에 따른 비과세소득에 해당하지 않습니다.",3.12,https://www.law.go.kr/expcInfoR.do?expcSeq=335059
law_expc_22-0879,law_expc,22-0879,민원인 - 「사립학교교직원 연금법」을 적용받는 사립학교 사무직원이 사립학교 내부 규정에 따라 받는 육아휴직수당에 대한 소득세 과세 여부(「소득세법」 제12조제3호마목 등 관련),소득세,2022-12-19,회신,법제처,"이 사안의 경우, 사학연금법을 적용받는 사립학교 사무직원이 학교법인 내부 규정에 따라 받는 육아휴직수당은 「소득세법」 제12조제3호마목에 따른 비과세소득에 해당하지 않습니다.",3.12,https://www.law.go.kr/expcInfoR.do?expcSeq=335093
law_expc_22-0472,law_expc,22-0472,민원인 - 「소득세법」 제50조제1항제3호나목에 따른 20세 이하의 의미(「소득세법」 제50조 등 관련),소득세,2022-09-14,회신,법제처,이 사안의 경우 “20세 이하”는 20세가 되는 날과 그 이전 기간을 의미합니다.,2.983,https://www.law.go.kr/expcInfoR.do?expcSeq=334293
law_expc_19-0525,law_expc,19-0525,민원인 - 2014년 1월 1일 전에 법인세 감면 결정을 받은 자가 2014년 1월 1일 이후 법인지방소득세를 신고ㆍ납부하는 경우의 세액 산출 방식(법률 제12153호 「지방세법」 부칙 제15조 등 관련),소득세,2020-02-13,회신,법제처,이 사안의 경우 구 「지방세법」 제89조제1항을 적용하여 감면된 법인세액을 과세표준으로 하여 세액을 산출할 수 없습니다.,2.926,https://www.law.go.kr/expcInfoR.do?expcSeq=326445
law_expc_20-0359,law_expc,20-0359,감사원 - 성실공익법인등의 요건인 공익법인등의 전용계좌 개설 및 사용의 의미(「상속세 및 증여세법」 제16조제2항 등 관련),법인세,2020-09-28,회신,법제처,「상속세 및 증여세법」 제16조제2항제2호 각 목 외의 부분 단서의 “제50조의2에 따른 전용계좌의 개설 및 사용”은 공익법인등이 전용계좌를 개설하고 신고하는 것을 포함하는 의미입니다.,2.897,https://www.law.go.kr/expcInfoR.do?expcSeq=328843
law_expc_25-0037,law_expc,25-0037,민원인 - 농업ㆍ임업용 방조망에 해당하지 않으나 유사한 기능을 수행하는 농ㆍ임업용 기자재에 대한 부가가치세 환급 가부(「농ㆍ축산ㆍ임ㆍ어업용 기자재 및 석유류에 대한 부가가치세 영세율 및 면세 적용 등에 관한 특례규정」 제7조제1호 등 관련),부가가치세,2025-04-08,회신,법제처,관할 세무서장은 농어민등이 이 사안 기자재를 구입 또는 수입한 때에 부담한 부가가치세액을 해당 농어민등에게 환급할 수 없습니다.,2.878,https://www.law.go.kr/expcInfoR.do?expcSeq=341103
law_expc_18-0804,law_expc,18-0804,기획재정부 - 「조세특례제한법」 제99조의2제1항을 적용받는 주택만을 소유하고 있는 사람의 2017. 8. 2. 이전 매매계약 체결 주택이 구 「소득세법 시행령」 부칙 제2조제2항제2호의 적용대상인지 여부(「조세특례제한법」 제99조의2제2항 및 구 「소득세법 시행령」 부칙 제2조제2항제2호 관련),소득세,2019-04-05,회신,법제처,이 사안의 경우 일반주택은 구 「소득세법 시행령」 부칙 제2조제2항제2호의 적용대상에 해당하지 않습니다.,2.832,https://www.law.go.kr/expcInfoR.do?expcSeq=330997
